,VoA Output,Difference from Mean,Difference from Median,Difference from Rank to Rank,"Difference from Q1, for teams in Q1","Difference from Q3, for teams in Q3",,
Kent St,60.6086956521739,14.1516631828317,13.4470108695652,0.0869565217391,,-0.3478260869565,,
Charlotte,60.9565217391304,14.4994892697882,13.7948369565217,0.3478260869565,,0,,
FIU,61.695652173913,15.2386197045708,14.5339673913043,0.7391304347826,,0.7391304347826,,
EMU,61.7608695652174,15.3038370958752,14.5991847826087,0.0652173913044,,0.804347826087,,
Maryland,61.9782608695652,15.521228400223,14.8165760869565,0.2173913043478,,1.0217391304348,,
Coastal Carolina,62.0652173913043,15.6081849219621,14.9035326086956,0.0869565217391,,1.1086956521739,,
UNT,62.195652173913,15.7386197045708,15.0339673913043,0.1304347826087,,1.2391304347826,,
NC State,62.4130434782609,15.9560110089187,15.2513586956522,0.2173913043479,,1.4565217391305,,
ULM,63.695652173913,17.2386197045708,16.5339673913043,1.2826086956521,,2.7391304347826,,
USF,64.804347826087,18.3473153567448,17.6426630434783,1.108695652174,,3.8478260869566,,
Georgia St,65.7826086956522,19.32557622631,18.6209239130435,0.9782608695652,,4.8260869565218,,
Kansas,66.1304347826087,19.6734023132665,18.96875,0.3478260869565,,5.1739130434783,,
Arkansas,66.6739130434783,20.2168805741361,19.5122282608696,0.5434782608696,,5.7173913043479,,
Northern Illinois,67,20.5429675306578,19.8383152173913,0.3260869565217,,6.0434782608696,,
Middle Tennessee St,67,20.5429675306578,19.8383152173913,0,,6.0434782608696,,
Vanderbilt,67.9347826086957,21.4777501393535,20.773097826087,0.9347826086957,,6.9782608695653,,
Toledo,69.3913043478261,22.9342718784839,22.2296195652174,1.4565217391304,,8.4347826086957,,
ECU,69.5217391304348,23.0647066610926,22.3600543478261,0.1304347826087,,8.5652173913044,,
Rice,69.9565217391304,23.4994892697882,22.7948369565217,0.4347826086956,,9,,
Nevada,71.1521739130435,24.6951414437013,23.9904891304348,1.1956521739131,,10.1956521739131,,
Georgia Tech,71.6086956521739,25.1516631828317,24.4470108695652,0.4565217391304,,10.6521739130435,,
Rutgers,73.3478260869565,26.8907936176143,26.1861413043478,1.7391304347826,,12.3913043478261,,
Texas St,73.9130434782609,27.4560110089187,26.7513586956522,0.5652173913044,,12.9565217391305,,
UNLV,74.3478260869565,27.8907936176143,27.1861413043478,0.4347826086956,,13.3913043478261,,
