team,conference,CFB_Week,VoA_Output,VoA_Ranking,VoA_Rating
Missouri,SEC,0,68.64523338730235,55,3.491977892047363
Penn State,Big Ten,0,48.31153949498777,15,12.133139893067614
Temple,American Athletic,0,84.94336422198491,126,-14.2977287999772
Iowa,Big Ten,0,63.279815357056734,30,7.919980111415888
Louisville,ACC,0,52.686000895656065,47,4.4630146113080595
UTEP,Conference USA,0,70.20745384883315,111,-8.72694197657027
Kentucky,SEC,0,57.285233387302355,23,9.372648628599624
NC State,ACC,0,56.11910434393193,40,5.546078966250229
Florida State,ACC,0,49.60324227496641,51,4.122663601739617
Pittsburgh,ACC,0,47.16462158531124,14,12.173826062961844
Marshall,Sun Belt,0,57.9157380550484,49,4.383199116135305
Eastern Michigan,Mid-American,0,71.45110521662245,99,-6.658067228536633
UCLA,Pac-12,0,48.61518045173218,29,8.517092517894373
Duke,ACC,0,67.40600089565606,87,-3.4972785820645917
Oklahoma,Big 12,0,49.23739984153777,7,15.27310190180523
SMU,American Athletic,0,57.64543318750215,74,-0.961062201727791
Florida,SEC,0,51.95144028385408,21,9.613275607967894
North Texas,American Athletic,0,65.44543318750215,94,-5.343260767970612
Houston,Big 12,0,52.82222742774467,25,9.18463775353781
UAB,American Athletic,0,48.1075021530194,41,5.367083563816311
Utah,Pac-12,0,42.5213873482839,10,13.1694692644149
UMass,FBS Independents,0,95.64322160598024,133,-30.048440747486502
Wyoming,Mountain West,0,68.95486857969617,80,-2.302910419850459
Michigan State,Big Ten,0,69.40671190878088,75,-1.2746398260245426
Miami,ACC,0,64.09703537841469,58,3.07787374545102
Memphis,American Athletic,0,60.77095042888146,70,0.05906368077617507
Virginia Tech,ACC,0,70.02944917151814,78,-2.1677023395922523
Wake Forest,ACC,0,59.87910434393193,46,4.619638375694943
Western Michigan,Mid-American,0,65.60972590627763,95,-5.671613576566333
New Mexico,Mountain West,0,88.53004099348927,124,-14.0287713874994
Nebraska,Big Ten,0,63.12257397774639,52,4.027968615668991
Indiana,Big Ten,0,79.90878087429812,86,-3.4763088208706687
West Virginia,Big 12,0,62.714641220848115,37,7.066832187361081
Minnesota,Big Ten,0,51.234298115677426,39,6.063683147306143
Auburn,SEC,0,58.059026490750625,34,7.434195736056136
UCF,Big 12,0,49.52567570360674,13,12.860007661497995
Northern Illinois,Mid-American,0,75.38627763041556,122,-13.486458476292642
Air Force,Mountain West,0,46.75348926935134,43,4.84253548198116
Alabama,SEC,0,29.37212993902649,2,25.015709122190703
North Carolina,ACC,0,53.29013882669055,36,7.16671645949525
Central Michigan,Mid-American,0,63.35179487179487,92,-4.9325941053140365
Oklahoma State,Big 12,0,61.99050328981363,28,8.57321396657266
Louisiana Monroe,Sun Belt,0,88.57228977918633,127,-15.465744175401053
Georgia Tech,ACC,0,80.70531124048365,106,-8.13166871922037
Fresno State,Mountain West,0,52.31624789004099,48,4.40802410423303
Buffalo,Mid-American,0,69.48696728558798,91,-4.884085405982072
Boston College,ACC,0,74.83082848186297,89,-4.089258830655423
Texas A&M,SEC,0,53.37488855971615,11,13.16500430656481
Troy,Sun Belt,0,63.66884150332426,82,-2.879946041881674
Georgia State,Sun Belt,0,66.27987598608289,88,-4.050344327795529
Bowling Green,Mid-American,0,82.22627763041557,123,-13.70653176861385
BYU,Big 12,0,49.70222742774467,8,14.355764070954276
Texas Tech,Big 12,0,59.81119294498605,42,4.876978059533069
Colorado State,Mountain West,0,76.19073064866168,114,-10.423557474736208
Ball State,Mid-American,0,71.57662245800176,97,-6.023476558716022
South Carolina,SEC,0,68.63557821488855,60,2.092837524298785
Vanderbilt,SEC,0,88.22454373212994,115,-10.752946522076517
Oregon,Pac-12,0,48.284145968973554,19,10.743323125240115
Tulsa,American Athletic,0,65.96543318750216,73,-0.8171027583550083
Ole Miss,SEC,0,50.09075062868166,20,10.486829552680948
Tennessee,SEC,0,42.06178511144029,16,12.094167485782398
California,Pac-12,0,68.50759424483563,76,-1.3289863103591897
Toledo,Mid-American,0,50.074553492484526,56,3.4007980616659466
Oregon State,Pac-12,0,49.92000803793907,33,7.51797023183507
Charlotte,American Athletic,0,82.02198491164009,118,-11.145435121616014
LSU,SEC,0,57.304543732129936,35,7.228114466173178
Army,FBS Independents,0,55.12598022666988,77,-2.125199115217594
Baylor,Big 12,0,52.96981363464122,18,10.84758365927232
Arizona,Pac-12,0,76.72276665862873,103,-7.729009525205776
Arizona State,Pac-12,0,56.325525279318384,50,4.307724612617601
Coastal Carolina,Sun Belt,0,50.32263460677254,54,3.863924004915174
Notre Dame,FBS Independents,0,48.37563539908368,31,7.635422042831459
Arkansas,SEC,0,56.223164421785114,24,9.2101369364829
Rice,American Athletic,0,78.09508835991595,107,-8.36774960907547
Appalachian State,Sun Belt,0,47.068841503324265,27,8.677133903653145
Boise State,Mountain West,0,55.57004099348927,53,4.006561461202706
Nevada,Mountain West,0,72.8969375452134,101,-6.87867782329831
Florida International,Conference USA,0,90.66124695228145,130,-18.3829893919101
Western Kentucky,Conference USA,0,52.21297109021247,65,0.9905820105994718
UT San Antonio,American Athletic,0,49.51991594612284,57,3.338869417827451
Stanford,Pac-12,0,82.08552527931839,104,-8.113924281209526
Maryland,Big Ten,0,61.416367081194664,61,1.846680290941794
USC,Pac-12,0,60.45931838276666,62,1.84415186908185
Virginia,ACC,0,65.47910434393194,68,0.33244563995091037
Cincinnati,Big 12,0,40.14636535877915,4,18.70461148467705
Tulane,American Athletic,0,53.718536635778015,59,2.6675747538533883
Mississippi State,SEC,0,58.28109545626787,26,9.107046789251672
Georgia Southern,Sun Belt,0,71.38884150332426,93,-5.230849343896241
East Carolina,American Athletic,0,63.37232973922629,84,-3.3080159750763656
Rutgers,Big Ten,0,75.28119466740156,79,-2.2519873475563905
Wisconsin,Big Ten,0,47.05912570188432,12,13.044743173096824
Utah State,Mountain West,0,77.14245478659272,116,-10.996403918965992
Hawai'i,Mountain West,0,77.40452375210995,113,-10.03097011198447
Liberty,Conference USA,0,51.30814350400557,63,1.7943260254018432
Washington,Pac-12,0,59.01793907242183,45,4.8168169398684135
Washington State,Pac-12,0,63.87173217587011,66,0.6943867203932954
Texas,Big 12,0,46.69119294498605,9,14.057491015429624
New Mexico State,Conference USA,0,80.8143504005573,129,-17.278300809766936
Old Dominion,Sun Belt,0,75.36815184815185,117,-11.053708050220552
Connecticut,FBS Independents,0,86.98942850253195,131,-18.521852401068024
James Madison,Sun Belt,0,57.89780702056565,44,4.84131055444297
Jacksonville State,Conference USA,0,77.50262626262626,120,-11.700437208967363
Sam Houston State,Conference USA,0,70.2791779867642,105,-8.119373049196001
Boise State,Mountain West,1,57.09759064950605,65,-0.04501090640092452
Texas State,Sun Belt,1,71.97789532105817,97,-7.516428648335976
Penn State,Big Ten,1,47.87034670276148,13,13.645589959287095
Louisville,ACC,1,52.12681207428278,34,7.535261415273434
Boston College,ACC,1,71.17621711955981,92,-6.458876837271574
Michigan,Big Ten,1,36.88650269895783,4,18.373095966127355
Arkansas State,Sun Belt,1,80.62983885397304,122,-13.453994563612117
Troy,Sun Belt,1,58.976689480874576,62,1.2388471131316254
Minnesota,Big Ten,1,52.18735536939894,40,6.600143851648849
Alabama,SEC,1,30.095640746823097,2,23.696140484227644
Western Michigan,Mid-American,1,63.543952421671776,125,-14.454932493009736
Texas A&M,SEC,1,50.9833091820894,25,9.98465092068914
Washington State,Pac-12,1,60.51219876241076,56,3.582327668412468
Florida Atlantic,American Athletic,1,59.549526285745415,81,-3.567478333075938
Tulane,American Athletic,1,52.190522457536375,42,6.004680434035144
BYU,Big 12,1,49.427613470466085,33,7.890290647219412
Louisiana Monroe,Sun Belt,1,83.46256189722602,110,-10.715499197088818
Akron,Mid-American,1,84.02410226100476,124,-14.424026042944828
Oklahoma,Big 12,1,47.20898607144152,19,12.138515430653795
Sam Houston State,Conference USA,1,69.24526818166716,126,-15.65936445203541
Arkansas,SEC,1,53.042763763801254,32,7.983518662401534
Memphis,American Athletic,1,56.45659853527928,60,2.1483476581216667
Toledo,Mid-American,1,51.03497084776684,73,-2.031264114385792
San José State,Mountain West,1,63.66260497827697,89,-5.858173822045026
Auburn,SEC,1,55.15083051343008,37,7.346078781273109
South Alabama,Sun Belt,1,60.10115808939891,74,-2.168981142931925
Texas Tech,Big 12,1,59.09639552854807,39,6.742618180984017
Florida State,ACC,1,49.28948522741449,23,10.39207367911698
Liberty,Conference USA,1,51.89614986435803,82,-3.972967372282615
Notre Dame,FBS Independents,1,44.969530254338515,47,5.567564168075008
Georgia Tech,ACC,1,77.58212070852501,91,-6.196327546351544
North Texas,American Athletic,1,66.58288790279651,99,-8.338288122915847
Fresno State,Mountain West,1,52.13821063795483,63,0.5311139111064892
Middle Tennessee,Conference USA,1,71.00323839233573,96,-7.466626756520966
Rice,American Athletic,1,75.40857963677368,106,-10.099004097448384
UAB,American Athletic,1,45.86157613022601,51,4.9853102877949285
Army,FBS Independents,1,55.53115445335574,79,-3.319652757660595
Tennessee,SEC,1,40.68271095049403,6,16.95875540573098
UTEP,Conference USA,1,66.64475252891256,114,-11.02055299334451
Rutgers,Big Ten,1,70.9646075346866,72,-1.976483882433682
NC State,ACC,1,55.61348234627635,61,2.0443432412482707
Ole Miss,SEC,1,45.98789361683773,3,18.408941151273037
Bowling Green,Mid-American,1,78.25850437819875,120,-13.19904178993202
Air Force,Mountain West,1,43.732850092311025,55,3.8630426620507072
Tulsa,American Athletic,1,61.57804204684964,88,-4.853954171181466
Stanford,Pac-12,1,77.86456454863541,83,-4.151259830138956
Wisconsin,Big Ten,1,45.87367018034085,27,9.030491343176491
Syracuse,ACC,1,56.87317348663809,41,6.473972350835176
Maryland,Big Ten,1,59.24745043915554,53,4.279015249841045
Colorado State,Mountain West,1,74.10785372718766,129,-16.932907045486996
Temple,American Athletic,1,80.74124031931336,118,-11.672037940722644
Indiana,Big Ten,1,78.29848053814315,94,-6.577019944645248
Nebraska,Big Ten,1,61.80866556382116,66,-0.07929899755565012
Louisiana,Sun Belt,1,57.91519932050444,80,-3.4565208839091404
Georgia State,Sun Belt,1,64.08473937341724,90,-5.958861541828195
Missouri,SEC,1,64.15541323942816,30,8.750349966296563
Iowa,Big Ten,1,62.577756177725576,57,3.1106513349828204
Utah State,Mountain West,1,73.67074242582925,116,-11.20631514738668
Wyoming,Mountain West,1,67.21515287851506,100,-8.833830188047584
Eastern Michigan,Mid-American,1,69.97354595174252,104,-9.50513443992255
LSU,SEC,1,57.52956310732352,11,13.818521147573929
Old Dominion,Sun Belt,1,72.61186403465628,121,-13.34688342436581
USC,Pac-12,1,56.05199617282689,26,9.142554685615163
Washington,Pac-12,1,56.03647722723233,24,10.3072005511449
Georgia,SEC,1,29.8295664534402,1,24.123488968925994
Houston,Big 12,1,54.13858408558142,28,9.01266786273328
Clemson,ACC,1,44.55152643111351,14,13.32885269409464
Oklahoma State,Big 12,1,60.72477309137207,58,3.1069293040039443
Kent State,Mid-American,1,63.686226549850154,93,-6.55684436073876
Ball State,Mid-American,1,70.79536095286103,105,-9.834773843374816
Texas,Big 12,1,46.91191510332669,7,16.165384262167404
James Madison,Sun Belt,1,54.63859202965464,38,7.007881508950502
Utah,Pac-12,1,43.63985537178005,15,13.23498013851467
UNLV,Mountain West,1,74.73863354588843,101,-8.861352138810036
Mississippi State,SEC,1,54.632113805007386,17,12.753558216049166
Miami (OH),Mid-American,1,70.21772522370956,117,-11.391847233280595
Southern Mississippi,Sun Belt,1,71.33092530008142,87,-4.521285614342495
Buffalo,Mid-American,1,69.62748363064186,113,-11.00958054211288
Northern Illinois,Mid-American,1,73.45676536354773,128,-16.231412913191953
Baylor,Big 12,1,53.24827859224341,21,11.055198344746625
Louisiana Tech,Conference USA,1,79.37462463989579,131,-18.42972653372122
San Diego State,Mountain West,1,58.36486903303766,78,-3.302041800162794
Ohio State,Big Ten,1,32.150745384079634,5,18.150847734730203
Kansas,Big 12,1,69.04984398592752,45,5.7282125045561525
Central Michigan,Mid-American,1,64.89340819926521,107,-10.527895362997263
Wake Forest,ACC,1,57.65741981863607,35,7.488474209556198
Purdue,Big Ten,1,60.96451494025407,54,4.160068475296569
Navy,American Athletic,1,72.1890173347574,102,-8.887028611024581
New Mexico,Mountain West,1,86.68569196119435,130,-17.025824249642916
Florida International,Conference USA,1,85.65959764429735,132,-18.76198815136269
California,Pac-12,1,63.27563167316536,68,-0.3760333001726168
SMU,American Athletic,1,55.67340992788182,71,-1.6387997730132868
Vanderbilt,SEC,1,82.46253240763969,76,-2.5763272350891584
North Carolina,ACC,1,50.60446134681515,48,5.363292449064134
Virginia,ACC,1,66.3382831231109,84,-4.375413283656465
Coastal Carolina,Sun Belt,1,51.93485816717722,95,-6.647896060345994
Illinois,Big Ten,1,61.226322959093125,31,8.173008872499793
UMass,FBS Independents,1,90.11184241667812,133,-20.007518360669103
New Mexico State,Conference USA,1,74.94674659535947,115,-11.08163556637456
Iowa State,Big 12,1,53.05489428772496,36,7.445873369495896
Appalachian State,Sun Belt,1,47.327235829392464,59,2.696803993263252
TCU,Big 12,1,53.440913129088344,9,14.370916523359863
East Carolina,American Athletic,1,64.03726511382317,86,-4.51382005169198
Duke,ACC,1,64.18284280051891,43,5.918439098803703
Kansas State,Big 12,1,46.75988699556311,8,14.594356590213303
Arizona,Pac-12,1,69.82919666764846,67,-0.09039443472500253
Oregon State,Pac-12,1,47.58477689024418,22,10.43583301025472
Western Kentucky,Conference USA,1,51.79553130818306,70,-0.7923054808942592
Charlotte,American Athletic,1,76.68740025822011,111,-10.854426553310256
Miami,ACC,1,58.88623949500675,44,5.822697478142306
Colorado,Pac-12,1,82.24359308336501,108,-10.63320846469148
UCLA,Pac-12,1,48.00623883189533,18,12.612521152027718
UT San Antonio,American Athletic,1,48.62775821000478,46,5.620929831762482
Connecticut,FBS Independents,1,82.06280520867098,109,-10.713407814729738
Michigan State,Big Ten,1,64.46418675304257,69,-0.6944984518470777
Oregon,Pac-12,1,44.6491728793101,12,13.731362530341006
West Virginia,Big 12,1,61.8479347440652,49,5.2147166852974705
Kentucky,SEC,1,54.329614359203504,29,8.830685346544486
Ohio,Mid-American,1,64.00508678359799,112,-11.006167681217292
Marshall,Sun Belt,1,55.62834635590864,64,0.0764196286809213
South Carolina,SEC,1,68.70967946757537,50,5.0701187389507965
South Florida,American Athletic,1,75.29875524443146,103,-9.493762117935926
Arizona State,Pac-12,1,54.9521081924689,77,-2.7039383208149483
Pittsburgh,ACC,1,44.801022121648984,20,11.942947018914111
Florida,SEC,1,52.68393847262066,52,4.708956661937938
Nevada,Mountain West,1,72.75620251910117,127,-16.114193642096378
Virginia Tech,ACC,1,67.38830546433103,85,-4.3956502030746
UCF,Big 12,1,46.53318798936995,10,14.337740494057552
Georgia Southern,Sun Belt,1,66.77141067776388,75,-2.377957126919512
Cincinnati,Big 12,1,39.08084822046474,16,12.794190629389146
Hawai'i,Mountain West,1,73.84202568677242,123,-13.459081877496272
Jacksonville State,Conference USA,1,73.33885272843354,119,-12.967757083181954
Northwestern,Big Ten,1,80.4503123274972,98,-7.529568970745704
Georgia,SEC,2,27.361801116229486,1,28.542859629672392
Alabama,SEC,2,33.13007707132867,2,23.70787113062282
Michigan,Big Ten,2,30.55619944354203,3,22.144645579003896
Ohio State,Big Ten,2,31.30542422023359,4,21.17098197417332
Tennessee,SEC,2,37.19070319807662,5,20.312258732443293
Ole Miss,SEC,2,44.26841797194547,6,19.381881323228793
LSU,SEC,2,52.71308434274081,7,17.9075284598053
Penn State,Big Ten,2,44.6228596637201,8,17.811689773311624
Florida State,ACC,2,43.16801871221559,9,16.597340195372354
UCF,Big 12,2,46.999183166096344,10,16.116685185241874
Kansas State,Big 12,2,43.44250510316811,11,15.941608513000224
Texas,Big 12,2,48.0929404673648,12,14.996486826394346
Clemson,ACC,2,43.48995716519838,13,14.971257246361704
Cincinnati,Big 12,2,40.78061339502649,14,14.654884304211242
Mississippi State,SEC,2,52.505303529565175,15,14.277244238050793
UCLA,Pac-12,2,46.385203145777766,16,13.189897176659708
Utah,Pac-12,2,42.10511834601648,17,13.184012086201612
Oregon,Pac-12,2,46.29165583438614,18,13.148371138496458
Syracuse,ACC,2,52.458074874197294,19,12.505965735448362
Kentucky,SEC,2,52.40532593501891,20,12.264978544440554
Oregon State,Pac-12,2,43.802628082166315,21,12.11403999010355
Pittsburgh,ACC,2,45.06155158037073,22,11.806349108871895
Oklahoma,Big 12,2,48.07708092778875,23,11.65609446460075
Baylor,Big 12,2,50.35611961689564,24,11.51046950427874
TCU,Big 12,2,53.16373993465002,25,11.288262532568845
USC,Pac-12,2,54.070251332264604,26,11.235126697985026
Washington,Pac-12,2,54.9327255364585,27,10.659901301544142
Wisconsin,Big Ten,2,46.44185994565208,28,10.234932051687045
Houston,Big 12,2,53.3783799445935,29,9.937396572995793
Minnesota,Big Ten,2,48.87506787932006,30,9.903188184871683
Auburn,SEC,2,54.14334723475055,31,9.73378475043714
Florida,SEC,2,50.505355707992535,32,9.3753387828732
Louisville,ACC,2,48.1566506023443,33,9.293017072693921
Texas A&M,SEC,2,53.91888384132912,34,8.78295652821982
West Virginia,Big 12,2,58.34928206751609,35,8.684325569393202
Arkansas,SEC,2,51.2804028456859,36,8.672155707197872
Illinois,Big Ten,2,59.850455369981866,37,7.6267647232348486
Texas Tech,Big 12,2,58.61697892133529,38,7.49369703465843
South Carolina,SEC,2,64.44618302480319,39,7.468353674055016
BYU,Big 12,2,52.53090710282325,40,6.9435884748480365
Missouri,SEC,2,63.94370888858215,41,6.921175447484514
Miami,ACC,2,60.35253366047558,42,6.8764747133064805
Wake Forest,ACC,2,57.51507928014125,43,6.696773849363881
Maryland,Big Ten,2,57.79781354710987,44,6.134623492766347
Iowa State,Big 12,2,57.79306120269687,45,5.848079174690169
North Carolina,ACC,2,53.23657713731103,46,5.697809858489769
Kansas,Big 12,2,65.04989928730748,47,5.624987731862921
Purdue,Big Ten,2,59.78289302495613,48,5.32050317830366
James Madison,Sun Belt,2,55.47063709218054,49,5.095169101464052
Notre Dame,FBS Independents,2,46.96010814609692,50,5.064214575777445
UT San Antonio,American Athletic,2,47.82415789822554,51,4.447963213628281
Duke,ACC,2,59.67951086499488,52,4.334840822734132
Memphis,American Athletic,2,55.4246783315126,53,3.4119584934944474
Air Force,Mountain West,2,44.32595888244835,54,3.2253586772524474
Oklahoma State,Big 12,2,62.40739546827402,55,2.7448655148009933
Washington State,Pac-12,2,59.87263999447829,56,2.521186039702825
NC State,ACC,2,57.172508994620514,57,2.484142942195768
Michigan State,Big Ten,2,61.418270635297006,58,2.3365518546671846
Tulane,American Athletic,2,54.45077862128872,59,2.0092073665520678
Iowa,Big Ten,2,65.1945290733474,60,2.0035255431248813
Arizona,Pac-12,2,68.10589162958453,61,0.428463334406899
UAB,American Athletic,2,47.08831931586311,62,0.3657110363609597
Nebraska,Big Ten,2,61.63919955191897,63,-0.03336362018592505
South Alabama,Sun Belt,2,54.97519788932596,64,-0.06816855130624483
Marshall,Sun Belt,2,58.20411200936826,65,-0.13674536704433266
Vanderbilt,SEC,2,81.22646675294402,66,-0.28971712399208827
Fresno State,Mountain West,2,51.713043055570964,67,-1.0276079453305367
Appalachian State,Sun Belt,2,48.731900308326125,68,-1.0292980474332647
Rutgers,Big Ten,2,69.63482614568736,69,-1.178508433814601
Western Kentucky,Conference USA,2,48.09269530975945,70,-1.7123680590100905
Troy,Sun Belt,2,60.59118814879291,71,-1.7484958867809732
Toledo,Mid-American,2,48.52863814973276,72,-2.3120687717237085
Boise State,Mountain West,2,57.81744893587036,73,-2.519677850532059
Arizona State,Pac-12,2,58.73336123488585,74,-2.6557121340657126
California,Pac-12,2,63.217436012231865,75,-3.0584107599588277
Army,FBS Independents,2,53.875561311332525,76,-3.37914766169424
Liberty,Conference USA,2,53.19822777821854,77,-3.7844229269859464
Virginia Tech,ACC,2,69.70135310963218,78,-3.932676184366167
Indiana,Big Ten,2,76.81427453649668,79,-4.423292332079507
Florida Atlantic,American Athletic,2,62.38004964270992,80,-4.4579347587747
SMU,American Athletic,2,58.5762523710034,81,-4.559303608493641
Georgia Tech,ACC,2,74.67381730743563,82,-4.653746735963601
San José State,Mountain West,2,64.7737349212834,83,-5.264218855881688
Virginia,ACC,2,66.87854389296155,84,-5.307362784104804
Louisiana,Sun Belt,2,61.14966756822041,85,-5.587007933001574
Coastal Carolina,Sun Belt,2,53.577619767187976,86,-5.61955941484757
Boston College,ACC,2,72.7602822504399,87,-5.665712784458044
Georgia Southern,Sun Belt,2,69.91133143386804,88,-6.254340705779482
Southern Mississippi,Sun Belt,2,74.76701559161675,89,-6.511837982487804
Tulsa,American Athletic,2,67.26769244983612,90,-6.891676924686719
East Carolina,American Athletic,2,62.80116548841218,91,-6.901332969662174
San Diego State,Mountain West,2,60.78039244425167,92,-7.004300809614291
Georgia State,Sun Belt,2,64.4736629341983,93,-7.177603352096133
Northwestern,Big Ten,2,82.85357217725158,94,-8.16928061133821
Texas State,Sun Belt,2,72.04180136707147,95,-8.52110054181103
North Texas,American Athletic,2,67.09213313526027,96,-8.743000645682766
Utah State,Mountain West,2,68.30254176334242,97,-8.945397240963821
Stanford,Pac-12,2,82.42860963726386,98,-9.032250043955766
Louisiana Monroe,Sun Belt,2,79.50849144553192,99,-10.471332800740054
Eastern Michigan,Mid-American,2,71.6110147936842,100,-10.577124937133423
Middle Tennessee,Conference USA,2,69.04925162328165,101,-10.906225736193457
Navy,American Athletic,2,69.11698471817775,102,-10.945109637535687
Wyoming,Mountain West,2,68.03718362343366,103,-11.013307208059842
New Mexico State,Conference USA,2,74.35602708839949,104,-11.106761059134517
Charlotte,American Athletic,2,77.95953709321142,105,-11.80503929884744
UNLV,Mountain West,2,75.534315306497,106,-11.914400325572505
Rice,American Athletic,2,77.08983997573829,107,-11.929289754590378
South Florida,American Athletic,2,74.04366414893678,108,-12.00369184459443
Ohio,Mid-American,2,66.31199593142188,109,-12.208876502057532
