Rank,Team,G,W-L,Penalties,PYards,YPG
44,Towson (CAA),11,4-7,61,554,50.36
45,VMI (SoCon),11,6-5,60,558,50.73
46,Murray St. (OVC),11,6-5,61,565,51.36
47,Weber St. (Big Sky),11,6-5,66,572,52.00
48,Eastern Ill. (OVC),11,1-10,66,574,52.18
49,ETSU (SoCon),13,11-2,74,679,52.23
50,James Madison (CAA),14,12-2,84,733,52.36
51,Alcorn (SWAC),11,6-5,73,577,52.45
52,UT Martin (OVC),13,10-3,78,684,52.62
53,Mississippi Val. (SWAC),11,4-7,69,583,53.00
53,Presbyterian (Pioneer),11,2-9,82,583,53.00
55,Richmond (CAA),11,6-5,66,584,53.09
55,Western Caro. (SoCon),11,4-7,75,584,53.09
57,Montana (Big Sky),13,10-3,69,692,53.23
58,San Diego (Pioneer),11,7-4,61,586,53.27
59,UNI (MVFC),12,6-6,73,640,53.33
60,Southeast Mo. St. (OVC),11,4-7,64,588,53.45
61,Fordham (Patriot),11,6-5,62,591,53.73
62,William & Mary (CAA),11,6-5,64,593,53.91
63,South Dakota St. (MVFC),15,11-4,92,809,53.93
64,Abilene Christian (WAC),11,5-6,59,594,54.00
65,Hampton (Big South),11,5-6,74,596,54.18
65,Norfolk St. (MEAC),11,6-5,67,596,54.18
67,Chattanooga (SoCon),11,6-5,60,600,54.55
68,Columbia (Ivy League),10,7-3,65,551,55.10
69,Indiana St. (MVFC),11,5-6,72,610,55.45
70,Southern Ill. (MVFC),13,8-5,78,721,55.46
71,Nicholls (Southland),11,6-5,66,612,55.64
72,Harvard (Ivy League),10,8-2,56,559,55.90
73,Austin Peay (OVC),11,6-5,78,615,55.91
74,Eastern Wash. (Big Sky),13,10-3,76,730,56.15
75,Ark.-Pine Bluff (SWAC),11,2-9,66,618,56.18
76,Texas Southern (SWAC),10,2-8,64,566,56.60
77,Houston Baptist (Southland),11,0-11,70,627,57.00
77,McNeese (Southland),11,4-7,68,627,57.00
77,Missouri St. (MVFC),12,8-4,71,684,57.00
77,Stony Brook (CAA),11,5-6,78,627,57.00
81,Idaho (Big Sky),11,4-7,69,629,57.18
82,Gardner-Webb (Big South),11,4-7,69,636,57.82
83,Northwestern St. (Southland),11,3-8,68,637,57.91
84,Sacramento St. (Big Sky),12,9-3,81,702,58.50
85,SFA (WAC),12,8-4,83,704,58.67
86,Duquesne (NEC),10,7-3,65,590,59.00
87,Morgan St. (MEAC),11,2-9,72,650,59.09
88,Northern Colo. (Big Sky),11,3-8,73,651,59.18
89,Eastern Ky. (ASUN),11,7-4,76,654,59.45
90,Holy Cross (Patriot),13,10-3,85,776,59.69
91,Georgetown (Patriot),10,2-8,65,597,59.70
92,Villanova (CAA),13,10-3,77,780,60.00
93,Tennessee Tech (OVC),11,3-8,68,661,60.09
94,Penn (Ivy League),10,3-7,71,602,60.20
95,Delaware St. (MEAC),11,5-6,73,669,60.82
96,Portland St. (Big Sky),11,5-6,77,670,60.91
97,Sam Houston (WAC),12,11-1,75,734,61.17
98,Wagner (NEC),11,0-11,86,680,61.82
99,Stetson (Pioneer),10,3-7,75,619,61.90
100,Alabama St. (SWAC),11,5-6,78,689,62.64
101,Central Ark. (ASUN),11,5-6,64,697,63.36
101,Southern U. (SWAC),11,4-7,79,697,63.36
103,Morehead St. (Pioneer),11,7-4,70,702,63.82
104,Western Ill. (MVFC),11,2-9,78,716,65.09
105,Bethune-Cookman (SWAC),11,2-9,83,722,65.64
106,South Carolina St. (MEAC),12,7-5,87,788,65.67
107,Bryant (NEC),11,7-4,93,732,66.55
108,UIW (Southland),13,10-3,106,880,67.69
109,Cornell (Ivy League),10,2-8,71,677,67.70
110,Maine (CAA),11,6-5,79,748,68.00
111,N.C. Central (MEAC),11,6-5,79,751,68.27
112,Davidson (Pioneer),11,8-3,78,756,68.73
113,Southeastern La. (Southland),13,9-4,101,894,68.77
114,Tennessee St. (OVC),11,5-6,92,759,69.00
115,Campbell (Big South),11,3-8,87,785,71.36
116,Central Conn. St. (NEC),11,4-7,87,790,71.82
117,Jacksonville St. (ASUN),11,5-6,86,795,72.27
118,Alabama A&M (SWAC),10,7-3,80,723,72.30
119,Yale (Ivy League),10,5-5,72,726,72.60
120,Jackson St. (SWAC),13,11-2,111,951,73.15
121,Valparaiso (Pioneer),11,4-7,90,812,73.82
122,N.C. A&T (Big South),11,5-6,91,867,78.82
123,Florida A&M (SWAC),12,9-3,107,"1,022",85.17
